,Имя,Число генов,Число геномов,Число генов с Z-DNA в промотере,Максимальный Z-Score,Средний Z-Score
1135,cytochrome bc complex cytochrome b subunit,46,50,14,38833.58,10459.492157142855
1136,asparagine synthase (glutamine-hydrolyzing),33,50,19,9852.15,1946.2471
1137,iron-sulfur cluster assembly accessory protein,46,50,25,28780.5,7547.8822759999985
1138,aminomethyl-transferring glycine dehydrogenase,42,50,26,13713.99,1915.4930000000002
1139,glycine cleavage system aminomethyltransferase GcvT,43,50,18,27872.66,5586.24618888889
1140,glycine cleavage system protein GcvH,50,50,32,28780.5,3491.7145718749994
1141,type I glutamate--ammonia ligase,45,50,8,3051.765,1371.8273250000002
1142,histidine phosphatase family protein,38,50,25,198956.2,10621.845168000002
1143,NUDIX domain-containing protein,28,50,16,138924.1,16278.40069375
1144,hypothetical protein,35,50,13,2962.843,1409.4312076923077
1145,galactokinase,33,50,16,138924.1,16172.540425000001
1146,RNB domain-containing ribonuclease,28,50,20,38833.58,5064.169960000001
1147,bifunctional RNase H/acid phosphatase,26,50,16,10894.72,1955.9974937499999
1148,Nif3-like dinuclear metal center hexameric protein,28,50,17,28780.5,2707.507352941177
1149,SURF1 family protein,46,50,28,94590.41,7363.020160714285
1150,DUF3052 domain-containing protein,37,50,14,13713.99,2501.848942857142
1151,"pyruvate dehydrogenase (acetyl-transferring), homodimeric type",49,50,30,138924.1,9942.46408
1152,OsmC family protein,33,50,25,28780.5,4239.55242
1153,glycoside hydrolase family 15 protein,47,50,30,198956.2,8300.283486666664
1154,TPM domain-containing protein,33,50,22,13713.99,3079.486886363636
1155,heat-inducible transcriptional repressor HrcA,46,50,35,66470.78,5036.139422857144
1156,radical SAM family heme chaperone HemW,43,50,30,38833.58,3069.52594
1157,phosphotransferase,26,50,17,6910.52,1609.4548352941179
1158,ribokinase,34,50,14,4876.735,2084.468157142857
1159,glycerol-3-phosphate dehydrogenase/oxidase,49,50,31,138924.1,7826.557041935482
1160,translation elongation factor 4,45,50,26,38833.58,3542.2213615384626
1161,DegV family protein,36,50,22,138924.1,9804.95123181818
1162,histidine phosphatase family protein,49,50,27,13713.99,2333.249118518519
1163,2-hydroxyacid dehydrogenase,36,50,22,27872.66,3552.209209090909
1164,GTPase ObgE,46,50,17,5351.021,1771.3922000000002
1165,pirin family protein,36,50,26,17253.57,3269.5122038461536
1166,N-acetyltransferase,29,50,14,65884.11,8874.202807142856
1167,valine--tRNA ligase,45,50,24,50885.97,5070.210929166667
1168,malate dehydrogenase,32,50,14,8485.756,2387.508357142857
1169,3-oxoadipate enol-lactonase,28,50,15,8485.756,2542.090733333333
1170,ribose-5-phosphate isomerase,46,50,37,10272.33,1970.3299189189188
1171,aminopeptidase N,44,50,29,48804.94,5673.112831034483
1172,cystathionine gamma-synthase,39,50,22,13713.99,3068.913163636363
1173,globin,43,50,25,50885.97,5365.409079999999
1174,alanine dehydrogenase,46,50,27,28780.5,2678.044103703704
1175,SDR family oxidoreductase,55,50,38,13713.99,3548.1475868421053
1176,isochorismatase family protein,41,50,28,65884.11,4889.563035714286
1177,thioredoxin-dependent thiol peroxidase,46,50,19,38833.58,3726.6460052631583
1178,MBL fold metallo-hydrolase,37,50,21,3333.338,1175.5142190476192
1179,rhomboid family intramembrane serine protease,31,50,16,29467.88,3538.3505124999997
1180,P1 family peptidase,27,50,14,8697.46,3612.8050142857146
1181,ferritin,32,50,9,6565.992,1749.5212999999999
1182,Rho termination factor N-terminal domain-containing protein,29,50,22,198956.2,11694.483718181817
1183,pyridoxamine 5'-phosphate oxidase family protein,29,50,10,8485.756,1849.18865
1184,"phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)",42,50,28,48804.94,5852.281882142857
1185,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,51,50,25,65884.11,8397.547172000002
1186,cystathionine beta-synthase,54,50,25,198956.2,10183.456676
1187,serine O-acetyltransferase,33,50,22,13713.99,4315.258559090908
1188,N-acetyltransferase,36,50,15,3993.322,1654.0909533333333
1189,phosphate ABC transporter permease PstA,45,50,32,138924.1,8435.779740625
1190,phosphate ABC transporter permease subunit PstC,44,50,16,28780.5,2882.906275
1191,FABP family protein,42,50,19,10272.33,1813.870173684211
1192,aminodeoxychorismate lyase,39,50,23,16770.32,3126.463452173913
1193,S9 family peptidase,39,50,27,17253.57,3052.2278370370373
1194,LLM class flavin-dependent oxidoreductase,35,50,18,37878.25,6526.109005555557
1195,phosphoribosylamine--glycine ligase,46,50,38,74987.35,7548.529376315788
1196,HIT family protein,32,50,14,28780.5,3767.2249
1197,pyruvate dehydrogenase,40,50,19,18247.98,2814.300905263158
1198,MFS transporter,36,50,22,198956.2,14411.612831818178
1199,threonine/serine exporter family protein,34,50,18,138924.1,11425.765744444441
1200,metal ABC transporter ATP-binding protein,45,50,24,10894.72,2692.1796333333336
1201,metal ABC transporter permease,32,50,15,8485.756,2520.405566666667
1202,CarD family transcriptional regulator,44,50,16,302785.5,24263.59768125
1203,DNA repair protein RadA,46,50,19,28780.5,3577.0246684210524
1204,DNA integrity scanning diadenylate cyclase DisA,29,50,21,10272.33,1965.032919047618
1205,hypothetical protein,40,50,21,38833.58,5909.6712809523815
1206,iron-siderophore ABC transporter substrate-binding protein,35,50,20,3661.11,1862.820735
1207,PIG-L family deacetylase,26,50,13,138924.1,15122.125815384614
1208,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,40,50,26,16770.32,2759.1482538461537
1209,GTP cyclohydrolase I FolE,46,50,30,17253.57,2823.6963366666673
1210,ATP-dependent zinc metalloprotease FtsH,46,50,18,17718.99,4978.4686
1211,D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase,37,50,23,13713.99,2703.535717391304
1212,rhodanese-like domain-containing protein,46,50,34,8782.157,1965.1434558823526
1213,non-ribosomal peptide synthetase,27,50,21,66470.78,4695.5213523809525
1214,polyphosphate kinase 2,40,50,13,38833.58,7424.513615384616
1215,dipeptidase,48,50,36,302785.5,12397.855505555553
1216,Na+/H+ antiporter subunit E,39,50,23,94590.41,10699.706386956519
1217,monovalent cation/H+ antiporter complex subunit F,29,50,15,38833.58,8857.783966666666
1218,monovalent cation/H(+) antiporter subunit G,40,50,28,12723.6,5479.380182142858
1219,DUF3263 domain-containing protein,40,50,22,28780.5,3437.3423727272734
1220,NUDIX hydrolase,40,50,27,68804.91,5906.802581481479
1221,glutamate ABC transporter substrate-binding protein,28,50,17,27872.66,5745.061623529412
1222,FAD-dependent oxidoreductase,56,50,25,29467.88,4694.692644000001
1223,amidohydrolase,32,50,14,27872.66,3580.689428571429
1224,orotate phosphoribosyltransferase,42,50,24,13713.99,3603.0745541666674
1225,response regulator transcription factor,35,50,25,38833.58,4204.517712000002
1226,aldehyde dehydrogenase family protein,35,50,14,3428.529,1484.347057142857
1227,molecular chaperone DnaJ,45,50,14,13713.99,2554.5845142857147
1228,AI-2E family transporter,38,50,22,13713.99,3082.5276500000004
1229,M20 family metallopeptidase,33,50,16,29467.88,4917.1412875
1230,type 1 glutamine amidotransferase,40,50,26,6680.689,1977.3641192307691
1231,sulfite exporter TauE/SafE family protein,28,50,10,9492.083,1981.14557
1232,GTP-binding protein,48,50,15,198956.2,15889.201466666667
1233,nitrite/sulfite reductase,36,50,25,198956.2,10357.649515999998
1234,FAD-dependent monooxygenase,31,50,15,37878.25,5740.578313333334
1235,VanW family protein,32,50,19,138924.1,16453.9318368421
1236,PhzF family phenazine biosynthesis protein,32,50,21,9492.083,1739.450338095238
1237,phosphoenolpyruvate carboxykinase (GTP),42,50,19,38833.58,3952.825715789474
1238,NYN domain-containing protein,35,50,16,37878.25,4020.0585874999997
1239,decaprenyl-phosphate phosphoribosyltransferase,25,50,15,29467.88,3896.731906666667
1240,Cof-type HAD-IIB family hydrolase,70,50,48,50885.97,5814.578322916666
1241,1-acyl-sn-glycerol-3-phosphate acyltransferase,49,50,26,13713.99,3655.6095653846155
1242,histidine phosphatase family protein,32,50,16,28780.5,3208.5925125
1243,prephenate dehydratase,43,50,26,13713.99,2129.5407269230773
1244,DUF5926 family protein,32,50,21,27872.66,5207.743785714286
1245,peptide-methionine (S)-S-oxide reductase MsrA,50,50,27,28780.5,3351.499818518519
1246,MFS transporter,27,50,14,38833.58,4049.8924785714275
1247,DUF1206 domain-containing protein,35,50,27,13713.99,3325.200470370371
1248,Lsr2 family protein,46,50,16,211093.9,18770.694468749996
1249,TetR/AcrR family transcriptional regulator,43,50,23,28780.5,4385.319965217392
1250,universal stress protein,38,50,16,38833.58,6159.618600000002
1251,pseudouridine synthase,37,50,28,50885.97,4391.916021428572
1252,MFS transporter,27,50,18,21732.38,2899.684238888889
1253,inositol-3-phosphate synthase,36,50,17,198956.2,14192.241488235293
1254,MarR family transcriptional regulator,29,50,19,13713.99,2910.444699999999
1255,universal stress protein,35,50,17,13713.99,2929.021964705882
1256,cupin domain-containing protein,28,50,16,138924.1,10570.12695
1257,aminodeoxychorismate/anthranilate synthase component II,41,50,18,3140.96,1104.1824055555555
1258,YqgE/AlgH family protein,29,50,24,48804.94,4957.1827
1259,thioredoxin-disulfide reductase,53,50,46,38833.58,7408.63573695652
1260,ParB/RepB/Spo0J family partition protein,45,50,22,13713.99,1747.5328318181819
1261,ParA family protein,44,50,26,138924.1,9665.652153846158
1262,membrane protein insertase YidC,45,50,18,2943.461,1254.6902222222222
1263,DUF4395 domain-containing protein,28,50,19,8323.257,1929.1328789473685
1264,CoA pyrophosphatase,45,50,26,29467.88,3745.5951576923076
1265,dihydropteroate synthase,31,50,17,38833.58,4896.358411764706
1266,amino acid-binding protein,25,50,17,18247.98,2318.894788235294
1267,MerR family transcriptional regulator,41,50,20,138924.1,10623.29419
1268,ABC transporter permease,36,50,23,6565.992,1637.3883913043474
1269,uridine diphosphate-N-acetylglucosamine-binding protein YvcK,37,50,23,13713.99,3567.3188739130437
1270,ABC transporter substrate-binding protein,37,50,21,68804.91,6668.784385714286
1271,1-phosphofructokinase,32,50,16,9721.919,2539.150718749999
1272,diaminopimelate epimerase,46,50,32,198956.2,11246.163862499998
1273,[protein-PII] uridylyltransferase,28,50,23,198956.2,9910.823460869566
1274,acylphosphatase,29,50,23,138924.1,12516.294269565216
1275,DNA primase,44,50,29,138924.1,9070.108951724138
1276,glutamate-5-semialdehyde dehydrogenase,45,50,36,211093.9,10663.508719444444
1277,gluconokinase,44,50,26,17253.57,3589.403965384615
1278,DUF2017 domain-containing protein,46,50,24,8922.646,2443.759399999999
1279,class 1b ribonucleoside-diphosphate reductase subunit alpha,40,50,32,68804.91,6604.055081249999
1280,class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI,45,50,27,8485.756,1758.1949444444442
1281,aspartate 1-decarboxylase,29,50,16,38833.58,6380.245943750002
1282,(Fe-S)-binding protein,30,50,19,16770.32,3534.2138684210536
1283,pyridoxal phosphate-dependent aminotransferase,32,50,21,65884.11,6476.107504761905
1284,SDR family oxidoreductase,32,50,17,138924.1,10922.897429411765
1285,ABC transporter ATP-binding protein,38,50,13,27872.66,4362.057669230769
1286,"NADPH-dependent 2,4-dienoyl-CoA reductase",34,50,14,8485.756,1898.6291785714286
1287,ABC transporter permease,35,50,21,13713.99,1714.3746619047622
1288,RNase adapter RapZ,46,50,23,138924.1,8129.508043478262
1289,amino acid ABC transporter permease,47,50,26,138924.1,11512.397042307692
1290,cytochrome c,42,50,14,302785.5,25375.688599999998
1291,4-alpha-glucanotransferase,24,50,16,13713.99,2975.4970375
1292,zinc ABC transporter substrate-binding protein,34,50,14,2943.461,1519.020642857143
1293,iron chelate uptake ABC transporter family permease subunit,40,50,22,13713.99,4310.238813636364
1294,Na+/H+ antiporter subunit D,39,50,22,28780.5,4179.994795454546
1295,phosphoadenylyl-sulfate reductase,35,50,25,38833.58,3681.891956000001
1296,hypothetical protein,34,50,21,5351.021,1896.3176666666668
1297,uroporphyrinogen-III synthase,31,50,19,28780.5,8819.479547368424
1298,"glutamate-1-semialdehyde 2,1-aminomutase",45,50,36,38833.58,4725.28463888889
1299,preprotein translocase subunit SecE,47,50,20,27872.66,4597.402625000001
1300,peptide chain release factor 3,29,50,14,28780.5,4475.4850642857145
1301,MBL fold metallo-hydrolase,32,50,18,27872.66,4687.51685
1302,RNA polymerase sigma factor SigE,29,50,12,13713.99,2333.0674749999994
1303,ornithine carbamoyltransferase,44,50,13,3713.33,1108.9362615384614
1304,NAD kinase,46,50,33,28780.5,2687.37220909091
1305,DEAD/DEAH box helicase,36,50,13,38833.58,12138.395930769233
1306,glycosyltransferase family 2 protein,29,50,18,13713.99,3025.3636777777774
1307,putative cytokinetic ring protein SteA,37,50,35,302785.5,15301.223100000008
1308,ABC transporter ATP-binding protein/permease,32,50,25,38833.58,5719.495820000002
1309,VIT1/CCC1 transporter family protein,34,50,24,38833.58,3722.1589708333336
1310,sulfate adenylyltransferase subunit CysD,46,50,24,74987.35,7060.478195833334
1311,phosphatidylinositol mannoside acyltransferase,28,50,19,198956.2,14398.471521052626
1312,copper resistance protein CopC,43,50,25,28780.5,4402.299031999999
1313,fructose-specific PTS transporter subunit EIIC,30,50,9,5485.32,2175.777111111111
1314,TIGR03085 family metal-binding protein,28,50,17,3512.018,1564.2468764705884
1315,thiamine phosphate synthase,38,50,26,138924.1,7891.674526923076
1316,glycine oxidase ThiO,28,50,17,16271.57,4271.8809764705875
1317,carboxylating nicotinate-nucleotide diphosphorylase,39,50,25,38833.58,5300.220192000001
1318,C40 family peptidase,29,50,11,4545.701,1944.8764363636362
1319,type II toxin-antitoxin system PemK/MazF family toxin,43,50,24,29467.88,5636.555850000002
1320,Ig-like domain-containing protein,33,50,17,9721.919,1908.4855588235296
1321,ATP-dependent DNA helicase,35,50,19,13713.99,2827.246626315789
1322,FtsX-like permease family protein,29,50,17,38833.58,4447.0260941176475
1323,MFS transporter,39,50,27,18180.95,3090.2975851851857
1324,sulfurtransferase,37,50,23,138924.1,7189.903560869568
1325,sugar transferase,38,50,23,198956.2,12416.916717391301
1326,glycerol kinase GlpK,47,50,22,38833.58,5622.191086363636
1327,CCA tRNA nucleotidyltransferase,46,50,36,13713.99,3554.7181250000012
1328,ABC transporter permease,46,50,27,138924.1,10092.483277777777
1329,tRNA pseudouridine(38-40) synthase TruA,45,50,21,9721.919,1708.5268999999998
1330,S8 family serine peptidase,44,50,30,66470.78,4910.343903333335
1331,type VII secretion protein EccCa,43,50,24,28780.5,4155.703175000001
1332,methionine ABC transporter ATP-binding protein,32,50,12,28780.5,4292.145816666667
1333,MFS transporter,41,50,22,198956.2,11731.764722727276
1334,3-phosphoshikimate 1-carboxyvinyltransferase,43,50,27,38833.58,4397.930603703705
1335,DUF3027 domain-containing protein,32,50,26,13713.99,3035.2470307692306
1336,lytic murein transglycosylase,25,50,11,3428.529,1827.6437454545458
1337,pyrimidine reductase family protein,44,50,24,6017.919,1591.0782375000001
1338,N-acetyl-1-D-myo-inositol-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase,40,50,32,74987.35,6560.562571875002
1339,hypothetical protein,40,50,24,21732.38,3988.3117374999997
1340,NUDIX hydrolase,36,50,25,198956.2,11300.933583999999
1341,AAA family ATPase,40,50,27,198956.2,15029.577062962964
1342,polysaccharide biosynthesis tyrosine autokinase,38,50,17,38833.58,6036.130347058824
1343,XdhC family protein,32,50,22,66470.78,5146.2516545454555
1344,endonuclease III,35,50,28,198956.2,11536.842057142856
1345,polyprenyl synthetase family protein,45,50,17,29467.88,3401.807517647059
1346,phospholipid carrier-dependent glycosyltransferase,45,50,31,38833.58,4344.258629032259
1347,NUDIX domain-containing protein,25,50,16,8485.756,1705.5614437499996
1348,DNA polymerase I,43,50,17,3428.529,1140.776688235294
1349,PH domain-containing protein,35,50,25,27872.66,3887.426180000001
1350,pyridoxal 5'-phosphate synthase lyase subunit PdxS,44,50,28,138924.1,13736.86785
1351,RNA polymerase sigma factor,44,50,29,16739.64,3412.2069793103447
1352,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB,45,50,35,29467.88,5140.703200000004
1353,malate dehydrogenase (quinone),38,50,19,48804.94,5517.671773684211
1354,M23 family metallopeptidase,40,50,27,138924.1,10905.005077777778
1355,metalloregulator ArsR/SmtB family transcription factor,27,50,14,13713.99,3689.479428571428
1356,glycoside hydrolase family 3 protein,44,50,25,13713.99,1959.2557160000003
1357,penicillin-binding protein,42,50,28,38833.58,4432.694742857142
1358,membrane protein insertion efficiency factor YidD,47,50,29,28780.5,3292.346368965517
1359,TOBE domain-containing protein,33,50,18,27872.66,3560.734338888889
1360,beta-ketoacyl-[acyl-carrier-protein] synthase family protein,45,50,14,12723.6,2878.9353642857145
1361,DUF5703 family protein,28,50,16,138924.1,10635.04789375
1362,hypothetical protein,38,50,21,9721.919,3749.0032
1363,OB-fold nucleic acid binding domain-containing protein,32,50,24,28780.5,4219.287962500001
1364,DUF3145 domain-containing protein,37,50,28,38833.58,3890.0398571428573
1365,Fe-S cluster assembly protein HesB,37,50,17,138924.1,12069.640047058827
1366,multidrug efflux SMR transporter,27,50,8,2962.843,1393.4432749999999
1367,MoxR family ATPase,28,50,19,9300.843,2738.374721052632
1368,enoyl-CoA hydratase,36,50,9,38833.58,5796.362755555556
1369,ATP-binding cassette domain-containing protein,31,50,14,29467.88,5155.637542857143
1370,YbdD/YjiX family protein,26,50,19,65884.11,5661.006568421053
1371,GNAT family N-acetyltransferase,34,50,24,10894.72,1997.3647374999991
1372,molybdopterin-dependent oxidoreductase,37,50,20,8485.756,1837.4620649999997
1373,nucleoside/nucleotide kinase family protein,30,50,18,13713.99,2290.034066666667
1374,SMC-Scp complex subunit ScpB,44,50,11,29467.88,6010.825118181819
1375,3-oxoacyl-ACP reductase FabG,28,50,13,13713.99,5225.721661538461
1376,TetR/AcrR family transcriptional regulator,35,50,19,29467.88,5823.961694736844
1377,beta-eliminating lyase-related protein,35,50,21,9852.15,2533.717347619048
1378,M56 family metallopeptidase,26,50,21,198956.2,11368.261947619047
1379,BlaI/MecI/CopY family transcriptional regulator,37,50,21,16271.57,2229.2261190476183
1380,TrkA family potassium uptake protein,32,50,21,13713.99,4186.626990476191
1381,TrkA family potassium uptake protein,32,50,20,16739.64,3607.4524999999994
1382,hypothetical protein,35,50,22,28780.5,4155.424922727272
1383,nicotinamide riboside transporter PnuC,28,50,11,17718.99,2868.5883
1384,dephospho-CoA kinase,48,50,24,18247.98,2683.4693125
1385,OsmC family peroxiredoxin,26,50,13,138924.1,23069.48600769231
1386,enoyl-ACP reductase FabI,32,50,14,2730.077,1296.2246928571428
1387,sulfite exporter TauE/SafE family protein,25,50,9,4270.735,2088.3128333333334
1388,acetyl-CoA C-acetyltransferase,31,50,17,3428.529,1233.7093647058823
1389,hypothetical protein,31,50,29,18247.98,5179.169837931034
1390,DUF3090 domain-containing protein,29,50,19,13713.99,4018.4058421052637
1391,proteasome subunit beta,29,50,18,28780.5,4200.963805555556
1392,proteasome subunit alpha,27,50,22,74987.35,6128.459154545454
1393,exonuclease SbcCD subunit D,26,50,15,29467.88,4337.763900000002
1394,DEDD exonuclease domain-containing protein,27,50,18,24647.41,2636.7767944444445
1395,adenosylmethionine--8-amino-7-oxononanoate transaminase,25,50,13,2962.843,1534.3262923076923
1396,8-amino-7-oxononanoate synthase,29,50,21,27872.66,3342.067004761905
1397,dethiobiotin synthase,25,50,17,27872.66,4683.807935294118
1398,FAD-binding dehydrogenase,37,50,22,4831.423,1919.5846909090913
1399,AIM24 family protein,29,50,11,13713.99,2962.4503999999997
1400,threonine synthase,32,50,16,4325.003,1545.4645375
1401,NUDIX domain-containing protein,26,50,13,4270.735,1905.225107692308
1402,TetR/AcrR family transcriptional regulator,29,50,21,38833.58,4484.020514285715
1403,ABC transporter ATP-binding protein,33,50,14,29467.88,6410.770007142857
1404,uracil-DNA glycosylase,25,50,18,4615.4,2193.5604055555564
1405,SufE family protein,25,50,14,3333.338,1776.2848357142861
1406,DUF853 family protein,30,50,17,29467.88,4675.807494117647
1407,ATP-dependent DNA ligase,26,50,13,198956.2,17310.270292307694
1408,Ku protein,33,50,21,3428.529,1190.0198714285714
1409,pyridoxamine 5'-phosphate oxidase,38,50,19,13713.99,2078.292652631579
1410,SGNH/GDSL hydrolase family protein,30,50,17,15418.56,3002.983517647059
1411,PAS domain-containing sensor histidine kinase,41,50,18,13713.99,3002.653922222222
1412,acyl-CoA dehydrogenase,29,50,21,28780.5,2641.7023761904757
1413,GtrA family protein,32,50,15,2962.843,1471.9626199999998
1414,adenylate/guanylate cyclase domain-containing protein,38,50,23,48804.94,6710.542404347826
1415,MoxR family ATPase,29,50,20,48804.94,6227.213570000001
1416,phospho-sugar mutase,44,50,30,17253.57,3628.2906433333337
1417,aldo/keto reductase family protein,36,50,22,66470.78,4317.01325
1418,GlsB/YeaQ/YmgE family stress response membrane protein,32,50,18,5485.32,1756.7087944444447
1419,HNH endonuclease,29,50,21,138924.1,9575.529842857142
1420,DUF456 domain-containing protein,26,50,17,13713.99,2899.297382352941
1421,CGNR zinc finger domain-containing protein,28,50,15,12351.13,2474.707819999999
1422,YbjN domain-containing protein,25,50,21,18247.98,3883.1414904761905
1423,AzlC family ABC transporter permease,28,50,19,27872.66,2378.1015263157897
1424,asparaginase,25,50,17,74987.35,9092.98091176471
1425,VIT family protein,27,50,20,13713.99,2766.14572
1426,FAD-dependent oxidoreductase,36,50,23,13713.99,3934.923373913043
1427,acyl-CoA dehydrogenase family protein,26,50,11,138924.1,15231.136445454547
1428,acyl-CoA dehydrogenase family protein,26,50,11,13713.99,3013.826927272727
1429,iron chelate uptake ABC transporter family permease subunit,24,50,16,13713.99,2919.6330562499998
1430,MaoC family dehydratase,33,50,19,8922.646,2196.467426315789
1431,ABC transporter ATP-binding protein/permease,41,50,17,17253.57,4020.874664705882
1432,2-oxo acid dehydrogenase subunit E2,31,50,10,5485.32,2620.551
1433,NUDIX hydrolase,26,50,17,38833.58,4175.366911764707
1434,TetR family transcriptional regulator,30,50,22,198956.2,12260.960568181821
1435,(deoxy)nucleoside triphosphate pyrophosphohydrolase,31,50,15,13713.99,3328.3056599999995
1436,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,33,50,17,74987.35,7013.666323529414
1437,ABC transporter permease,31,50,11,8782.157,2608.6801363636364
1438,CoA transferase,31,50,17,3174.797,1065.1558176470587
1439,YafY family transcriptional regulator,51,50,25,8922.646,1825.9904120000003
1440,CDP-alcohol phosphatidyltransferase family protein,27,50,10,8922.646,1985.93707
1441,thioredoxin domain-containing protein,28,50,13,27872.66,3233.331353846154
1442,histidine kinase,31,50,23,28780.5,4599.8363565217405
1443,response regulator transcription factor,33,50,18,66470.78,5495.075311111112
1444,amidohydrolase,25,50,14,198956.2,19657.327371428575
1445,bacterial proteasome activator family protein,28,50,13,9721.919,2513.730707692308
1446,NAD(P)H-dependent oxidoreductase,26,50,17,74987.35,6880.978847058824
1447,TetR/AcrR family transcriptional regulator,29,50,15,8922.646,2583.7514866666666
1448,methylcrotonoyl-CoA carboxylase,30,50,22,13713.99,4308.284136363636
1449,acyl-CoA dehydrogenase family protein,29,50,13,17253.57,4632.392853846154
1450,zinc-dependent metalloprotease,32,50,20,38833.58,5118.788735
1451,acetoin utilization protein AcuC,28,50,16,4876.735,1422.5645000000002
1452,MaoC family dehydratase N-terminal domain-containing protein,37,50,23,38833.58,5304.199526086958
1453,APC family permease,32,50,22,16739.64,2798.3208409090917
1454,3-oxoacyl-ACP reductase,30,50,13,68804.91,7237.922276923079
1455,MarR family transcriptional regulator,28,50,18,13713.99,3015.415938888889
1456,ATP-grasp domain-containing protein,30,50,15,9492.083,2943.343353333333
1457,sugar phosphate isomerase/epimerase,26,50,14,3333.338,1553.722592857143
1458,hypothetical protein,30,50,19,4876.735,1842.0672315789473
1459,arginine deiminase,33,50,17,8922.646,1952.0541823529416
1460,hypothetical protein,26,50,15,28780.5,4804.160440000001
1461,GNAT family N-acetyltransferase,32,50,24,74987.35,7425.3110166666675
1462,insulinase family protein,30,50,16,9721.919,2023.8624625000004
1463,NAD-glutamate dehydrogenase,27,50,13,16770.32,2861.3264153846153
1464,coenzyme F420-0:L-glutamate ligase,34,50,20,38833.58,3978.0370799999996
1465,aspartate aminotransferase family protein,40,50,17,21732.38,4489.695135294118
1466,50S ribosomal protein L33,24,50,10,13713.99,3566.97563
1467,type Z 30S ribosomal protein S14,25,50,23,23787.35,2760.8800608695647
1468,50S ribosomal protein L28,25,50,18,16770.32,4438.848822222224
1469,LCP family protein,28,50,17,27872.66,5422.499170588235
1470,NADH-quinone oxidoreductase subunit NuoK,28,50,13,7973.084,2075.9700692307697
1471,NADH-quinone oxidoreductase subunit A,28,50,12,2943.461,1248.4662833333332
1472,peptide deformylase,30,50,22,27872.66,3087.603554545455
1473,response regulator transcription factor,27,50,21,37878.25,6592.650038095238
1474,response regulator transcription factor,25,50,15,12351.13,2848.3954533333326
1475,DUF4244 domain-containing protein,25,50,13,38833.58,5179.7107230769225
1476,type II toxin-antitoxin system VapB family antitoxin,26,50,15,138924.1,14215.045093333336
1477,hypothetical protein,31,50,19,138924.1,10868.85970526316
1478,carbohydrate kinase,31,50,17,66470.78,8616.871458823529
1479,GAF domain-containing protein,33,50,15,13713.99,3665.4592333333335
1480,NADH-quinone oxidoreductase subunit NuoH,27,50,10,6680.689,1590.91882
1481,NADH-quinone oxidoreductase subunit NuoI,27,50,10,29467.88,8517.27857
1482,NADH-quinone oxidoreductase subunit L,28,50,9,66470.78,12681.971311111112
1483,NADH-quinone oxidoreductase subunit M,28,50,17,211093.9,13825.594188235294
1484,NADH-quinone oxidoreductase subunit NuoN,27,50,11,211093.9,21585.059390909093
1485,cardiolipin synthase,30,50,11,38833.58,4854.728345454546
1486,aldose 1-epimerase family protein,33,50,20,18180.95,4015.9412800000005
1487,NADH-quinone oxidoreductase subunit NuoF,27,50,16,13713.99,1945.0612312500002
1488,SDR family oxidoreductase,33,50,16,13713.99,3576.3321687500006
1489,PH domain-containing protein,31,50,22,16739.64,2677.9532454545456
1490,Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha,30,50,20,9492.083,2195.588735
1491,Re/Si-specific NAD(P)(+) transhydrogenase subunit beta,26,50,12,8922.646,1530.646566666667
1492,mycofactocin radical SAM maturase,24,50,15,211093.9,15318.402859999998
1493,NADH-quinone oxidoreductase subunit C,26,50,18,13713.99,4146.255511111111
1494,NADH-quinone oxidoreductase subunit D,28,50,6,2752.447,1795.7746500000003
1495,NADH-quinone oxidoreductase subunit J,28,50,20,12351.13,2989.398465
1496,NAD-dependent deacylase,27,50,16,13713.99,2941.2781437500003
1497,glycoside hydrolase family 13 protein,38,50,24,27872.66,2491.1775874999994
1498,sirohydrochlorin chelatase,29,50,21,65884.11,6647.804995238095
1499,GH1 family beta-glucosidase,30,50,20,10894.72,1873.0177550000003
1500,GNAT family N-acetyltransferase,24,50,15,13713.99,2592.7759600000004
1501,MFS transporter,38,50,31,138924.1,12571.04500967742
1502,DUF1304 domain-containing protein,28,50,18,49376.54,7453.9723111111125
1503,low temperature requirement protein A,28,50,16,65884.11,9401.86113125
1504,adenosine deaminase,33,50,19,13713.99,1715.477347368421
1505,alpha/beta hydrolase,31,50,16,38833.58,4603.62215
1506,NADH-quinone oxidoreductase subunit B,28,50,12,8697.46,2100.3057
1507,NAD(P)/FAD-dependent oxidoreductase,26,50,13,4270.735,1748.8478461538468
1508,ABC transporter substrate-binding protein,25,50,9,27872.66,6635.642511111111
1509,alpha/beta hydrolase,29,50,21,13713.99,2731.445957142857
1510,DUF6328 family protein,29,50,23,28780.5,3168.6185782608695
1511,TraR/DksA C4-type zinc finger protein,27,50,20,66470.78,6246.67662
